entity_id,book_id,language,rating,author,country,publisher,style,genre
0,1,2348,2664,6285,2353,3128,3086,2350
1,2,2348,2423,4010,2353,5511,3138,2392
2,3,2348,2375,3967,2353,3131,2867,2350
3,4,2348,2359,4785,2353,2676,5737,2350
4,5,2348,2423,3937,2353,3682,2413,2380
5,8,2348,2423,5316,2353,3478,5731,2369
6,10,3277,2375,2948,2419,4734,3625,2369
7,11,2348,2375,2808,2353,4543,2962,2410
8,12,2348,2375,3382,2353,5086,3499,2479
9,13,2348,2664,4584,2353,5876,2374,2471
10,14,2348,2359,2666,2353,4893,3273,2598
11,15,2348,2375,2428,2353,3620,3233,2373
12,17,2474,2423,2522,2353,2502,2502,2362
13,18,2348,2359,2573,2353,4957,,2350
14,19,2348,2375,5928,,5928,2407,2350
15,20,2348,2359,6432,2353,4373,2461,2373
16,21,2348,2359,3655,2353,5094,4350,2354
17,25,3277,2359,4557,2353,4557,3066,2362
18,27,2348,2375,6789,2353,4292,2973,2362
19,29,2878,2359,2737,2822,4431,4172,2386
20,30,,2359,2720,,5247,3797,2362
21,31,2348,2359,2499,2353,2676,3223,2362
22,32,2348,2359,2759,2353,4838,3083,2386
23,33,2348,2664,3876,2378,4258,6259,2369
24,35,2348,2359,4249,2419,4249,2502,2410
25,37,3277,2664,6369,2353,6823,5711,2380
26,39,2695,2375,2769,2353,2769,5863,2410
27,42,2348,2359,3851,2353,6381,3770,2377
28,44,2348,2375,4434,2353,5935,3058,2373
29,46,2348,2375,3301,2353,4128,3540,2362
30,49,2348,2359,4627,2490,4627,5275,2410
31,50,2348,2359,3603,2353,5929,2408,2476
32,52,2348,2359,2437,2353,2437,,2350
33,53,4446,,5366,2403,5366,4910,2362
34,54,2348,2423,3126,2353,3126,2770,2380
35,56,2348,,3854,2353,3854,5382,2350
36,58,2622,2423,3892,2403,6396,3892,2362
37,60,2348,2423,2433,2353,2624,2748,2392
38,62,2348,2423,3146,2353,3007,2776,2362
39,63,2348,2359,5655,2353,4181,3036,2350
40,65,2348,2375,3922,2353,6227,3197,2350
41,66,2348,2375,6565,,,3050,2373
42,67,2348,2375,3573,2353,5535,2523,2362
43,70,2695,2359,3170,2353,2573,2504,2479
44,72,2348,2359,2463,2353,3829,6473,2362
45,75,2348,2423,3317,2353,3131,2658,2350
46,77,2348,,4187,,4187,,2409
47,78,2348,2359,5421,2353,5421,2899,2362
48,79,2348,2359,4227,2353,3652,5007,2476
49,80,3690,,4078,,3592,4293,2362
50,82,3304,2359,5269,,5269,5838,2362
51,83,2348,2423,5482,2353,,2361,2362
52,84,2348,2359,3919,2353,2714,2714,2350
53,85,2348,2359,5671,2353,5671,3779,2362
54,86,2348,2375,3071,2353,4831,3438,2362
55,87,2348,2423,3310,2353,,5913,2380
56,90,2348,2375,3483,2353,5956,4437,2362
57,92,2348,2359,2839,2353,4249,3751,2479
58,93,2348,2359,2580,,6020,,2479
59,96,2348,2359,2609,2419,2609,4762,2350
60,99,2348,,5971,,,,2598
