('空调', '出风口', '1026364120', '3')
('出风口', '漏水', '1026364120', '3')
('出风口', '漏水', '1026364120', '2')
('出风口', '出水', '1026364120', '3')
('空调', '故障', '1026364120', '2')
('后排', '座椅', '2088233240', '2')
('空气', '悬架', '1061058608', '5')
('悬架', '系统故障', '1061058608', '5')
('系统故障', '报警', '1061058608', '5')
('报警', '灯', '1061058608', '5')
('空气', '悬架', '1061058608', '4')
('悬架', '系统故障', '1061058608', '4')
('系统故障', '灯', '1061058608', '4')
('系统故障', '警告', '1061058608', '5')
('警告', '灯', '1061058608', '5')
('汽车底盘', '加上', '1061058608', '7')
('加上', '下', '1061058608', '7')
('下', '箭头', '1061058608', '7')
('箭头', '黄色', '1061058608', '7')
('黄色', '报警', '1061058608', '7')
('报警', '灯', '1061058608', '7')
('悬架', '系统', '1061058608', '5')
('系统', '报警', '1061058608', '5')
('系统故障', '警示灯', '1061058608', '4')
('黄色', '车子', '1061058608', '8')
('车子', '底盘', '1061058608', '8')
('底盘', '有个', '1061058608', '8')
('有个', '上下', '1061058608', '8')
('上下', '箭头', '1061058608', '8')
('箭头', '报警', '1061058608', '8')
('报警', '灯', '1061058608', '8')
('故障', '灯', '1061058608', '2')
('空调', '有', '681088331', '3')
('有', '热气', '681088331', '3')
('空调', '出', '681088331', '3')
('出', '热风', '681088331', '3')
('空调', '冒风', '681088331', '2')
('有', '热风', '681088331', '3')
('空调', '吹', '681088331', '3')
('吹', '热风', '681088331', '3')
('空调', '故障', '681088331', '2')
('全景', '影像', '-327504488', '3')
('影像', '失效', '-327504488', '3')
('全景', '影像', '-327504488', '4')
('影像', '坏', '-327504488', '4')
('坏', '了', '-327504488', '4')
('影像', '不', '-327504488', '4')
('不', '显示', '-327504488', '4')
('全景', '环视', '-327504488', '4')
('环视', '影像', '-327504488', '4')
('影像', '看不清', '-327504488', '4')
('影像', '有', '-327504488', '4')
('有', '问题', '-327504488', '4')
('影像', '没用', '-327504488', '3')
('影像', '不能', '-327504488', '4')
('不能', '用', '-327504488', '4')
('影像', '失灵', '-327504488', '4')
('影像', '不好', '-327504488', '4')
('不好', '用', '-327504488', '4')
('影像', '故障', '-327504488', '3')
('影像', '异常', '-327504488', '3')
('不', '工作', '-327504488', '4')
('影像', '无法', '-327504488', '4')
('无法', '打开', '-327504488', '4')
('影像', '模糊', '-327504488', '3')
('不好', '使', '-327504488', '4')
('影像', '用', '-327504488', '4')
('用', '不了', '-327504488', '4')
('影像', '打不开', '-327504488', '3')
('全景', '环视', '-327504488', '6')
('环视', '影像', '-327504488', '6')
('影像', '反应', '-327504488', '6')
('反应', '很', '-327504488', '6')
('很', '慢', '-327504488', '6')
('驾驶', '辅助', '-327504488', '3')
('辅助', '故障', '-327504488', '3')
